CO PPM,CO Percent
356.54583333333335,0.23750000000000002
357.215,0.1875
358.9591666666667,0.4883333333333333
360.9683333333333,0.5608333333333334
362.74333333333334,0.4925
363.8766666666666,0.3133333333333333
366.84,0.815
368.53999999999996,0.4633333333333334
369.7075,0.3175
371.31916666666666,0.435
373.45250000000004,0.5750000000000001
375.98333333333335,0.68
377.6983333333333,0.45416666666666666
379.98333333333335,0.6058333333333333
382.09083333333336,0.555
384.02500000000003,0.5058333333333334
385.83166666666665,0.4716666666666667
387.6425,0.46749999999999997
390.1016666666667,0.635
391.85083333333336,0.44916666666666666
394.05583333333334,0.5633333333333334
396.7375,0.68
398.8125,0.5225
401.0116666666667,0.5525
404.41249999999997,0.8491666666666666
406.7583333333334,0.58
408.715,0.4825
411.64916666666664,0.7174999999999999
414.2108333333333,0.6224999999999999
416.41333333333336,0.5308333333333334
418.52833333333336,0.5083333333333333
421.00909090909096,0.6027272727272727
