Year,Country,Value
2019,Nepal,53.94932432432432
2020,Nepal,74.49444444444445
2021,Nepal,96.2141891891892
2022,Nepal,85.89815384615385
1992,United Kingdom,20.4
1993,United Kingdom,-16.436764705882354
1994,United Kingdom,-19.333823529411767
1995,United Kingdom,-2.8553968253968263
1996,United Kingdom,-19.316567164179105
1997,United Kingdom,0.896969696969697
1998,United Kingdom,2.374242424242424
1999,United Kingdom,-2.409090909090909
2000,United Kingdom,-6.2250000000000005
2001,United Kingdom,4.064929577464789
2002,United Kingdom,7.4825531914893615
2003,United Kingdom,29.484662162162167
2004,United Kingdom,15.975902777777776
2005,United Kingdom,14.135833333333332
2006,United Kingdom,18.86861111111111
2007,United Kingdom,29.85310810810811
2008,United Kingdom,21.76269230769231
2009,United Kingdom,16.863082191780823
2010,United Kingdom,14.262312925170068
2011,United Kingdom,32.4187074829932
2012,United Kingdom,23.404710144927535
2013,United Kingdom,19.95846153846154
2014,United Kingdom,28.143888888888892
2015,United Kingdom,52.16851351351352
2016,United Kingdom,55.06364285714286
2017,United Kingdom,62.63235294117647
2018,United Kingdom,56.085945945945944
2019,United Kingdom,69.74945945945946
2020,United Kingdom,78.79972222222221
2021,United Kingdom,73.5427027027027
2022,United Kingdom,88.623125
1992,Spain,0.08000000000000052
1993,Spain,-21.52
1994,Spain,-16.250882352941176
1995,Spain,-9.864603174603175
1996,Spain,3.827164179104477
1997,Spain,1.064090909090909
1998,Spain,-0.27984848484848507
1999,Spain,-0.029848484848485155
2000,Spain,-0.9082352941176469
2001,Spain,1.0685915492957745
2002,Spain,8.994964539007093
2003,Spain,9.201216216216215
2004,Spain,12.365000000000002
2005,Spain,7.601515151515152
2006,Spain,14.298333333333334
2007,Spain,8.575810810810811
2008,Spain,25.17980769230769
2009,Spain,22.59609589041096
2010,Spain,42.01797297297297
2011,Spain,20.43376712328767
2012,Spain,31.45152173913044
2013,Spain,32.45538461538462
2014,Spain,37.548611111111114
2015,Spain,32.20472972972973
2016,Spain,46.861285714285714
2017,Spain,36.6506862745098
2018,Spain,62.06040540540541
2019,Spain,58.969864864864874
2020,Spain,65.7813888888889
2021,Spain,66.8887837837838
2022,Spain,58.62109375
1992,Malaysia,-11.856666666666667
1993,Malaysia,-19.6321568627451
1994,Malaysia,-29.37921568627451
1995,Malaysia,-8.603263157894737
1996,Malaysia,-1.0654
1997,Malaysia,-33.65161616161616
1998,Malaysia,-5.830404040404041
1999,Malaysia,10.301919191919191
2000,Malaysia,14.57078431372549
2001,Malaysia,20.511851851851855
2002,Malaysia,-0.3473459715639808
2003,Malaysia,9.151636363636364
2004,Malaysia,3.155860465116279
2005,Malaysia,-1.7884343434343433
2006,Malaysia,4.551481481481481
2007,Malaysia,8.652432432432432
2008,Malaysia,49.99051282051282
2009,Malaysia,37.26426605504587
2010,Malaysia,55.63171171171171
2011,Malaysia,42.497168949771684
2012,Malaysia,59.02966183574879
2013,Malaysia,62.49435897435898
2014,Malaysia,42.94222222222223
2015,Malaysia,42.20558558558558
2016,Malaysia,66.38080952380952
2017,Malaysia,53.44372549019608
2018,Malaysia,50.675225225225226
2019,Malaysia,39.63648648648648
2020,Malaysia,71.78803738317757
2021,Malaysia,90.77792792792793
2022,Malaysia,94.32242424242425
